Activation,Neurons,Layers,MSE,MAE,R2,Training Time
relu,16,1,0.2043982297182083,0.3121387124061584,0.9482182383537292,44.83929395675659
relu,16,2,0.16783711016178132,0.2770330488681793,0.9560546875,44.96500587463379
relu,16,3,0.1931559294462204,0.29351434111595154,0.9487216353416443,47.78152585029602
relu,32,1,0.11868247389793396,0.24024562239646913,0.9700933218002319,44.72880506515503
relu,32,2,0.09252193123102188,0.21176565885543824,0.9770192623138427,46.70539736747742
relu,32,3,0.10132591426372528,0.22044823169708253,0.9736779689788818,48.75340676307678
relu,64,1,0.07044068872928619,0.18589796721935273,0.9826925754547119,45.46104693412781
relu,64,2,0.057679852843284606,0.169796422123909,0.9861396670341491,51.573803186416626
relu,64,3,0.06143134534358978,0.1763070434331894,0.9854091286659241,54.13648772239685
relu,128,1,0.05228198766708374,0.1613793909549713,0.9879418015480042,47.19184327125549
relu,128,2,0.04199244976043701,0.14574085175991058,0.9902734756469727,48.48757553100586
relu,128,3,0.047014258056879046,0.15727999806404114,0.9890568971633911,53.91788196563721
tanh,16,1,0.5290077984333038,0.4461711525917053,0.885339868068695,43.99493098258972
tanh,16,2,0.6210598349571228,0.47910415530204775,0.848284375667572,45.032570600509644
tanh,16,3,0.6710304617881775,0.4950521647930145,0.8271468281745911,49.11015224456787
tanh,32,1,0.236044979095459,0.31214902400970457,0.9499590754508972,43.85045862197876
tanh,32,2,0.2349371939897537,0.3086513578891754,0.9436959862709046,46.19864249229431
tanh,32,3,0.2719701290130615,0.32196582555770875,0.933033537864685,49.737921476364136
tanh,64,1,0.11830187141895294,0.22894039154052734,0.9755054354667664,45.26670241355896
tanh,64,2,0.10072502940893173,0.21373150646686553,0.977030336856842,47.3784613609314
tanh,64,3,0.11773665249347687,0.22449944615364076,0.9714261889457703,49.979877948760986
tanh,128,1,0.06619513332843781,0.17322331070899963,0.9858883500099183,47.74850106239319
tanh,128,2,0.04930451437830925,0.15094484984874726,0.9889023065567016,51.04618048667908
tanh,128,3,0.07174111157655716,0.18188851475715637,0.9830662369728088,55.63180422782898
sigmoid,16,1,1.0642782688140868,0.6225108146667481,0.7705360531806946,43.416436195373535
sigmoid,16,2,1.4217588663101197,0.745867121219635,0.6268083453178406,46.90176010131836
sigmoid,16,3,1.7923988580703736,0.8608555555343628,0.5267636775970459,49.56747317314148
sigmoid,32,1,0.47161763310432436,0.4159392356872559,0.8962511897087098,44.92517399787903
sigmoid,32,2,0.6084430098533631,0.4681940734386444,0.8431862831115723,43.0015344619751
sigmoid,32,3,0.7650010347366333,0.5453967332839966,0.7783747315406799,46.64117646217346
sigmoid,64,1,0.23434001803398133,0.30145536065101625,0.9465245723724365,42.74825119972229
sigmoid,64,2,0.2770142465829849,0.3236518085002899,0.9283403635025025,44.71677899360657
sigmoid,64,3,0.3476336061954498,0.3694056928157806,0.9052846193313598,46.17623805999756
sigmoid,128,1,0.13261344283819199,0.23575507700443268,0.9700372695922852,42.268465995788574
sigmoid,128,2,0.1301375910639763,0.23251049518585204,0.9663881301879883,46.459100008010864
sigmoid,128,3,0.18575138747692108,0.27627845406532286,0.9524342775344848,50.02529788017273
linear,16,1,0.17256134152412414,0.28705102801322935,0.9580197691917419,42.26935076713562
linear,16,2,0.1635262042284012,0.2817590653896332,0.9581895709037781,45.21545219421387
linear,16,3,0.18014421463012695,0.2918522834777832,0.955356764793396,44.134981632232666
linear,32,1,0.12115968465805053,0.24083555340766907,0.9725027322769165,40.5722291469574
linear,32,2,0.12854478061199187,0.24894697070121766,0.9712107896804809,42.444334983825684
linear,32,3,0.14281228184700012,0.26740373969078063,0.9687269806861878,44.025410175323486
linear,64,1,0.0976225882768631,0.21689724326133727,0.9785572052001953,40.843255281448364
linear,64,2,0.10329349339008331,0.22480205297470093,0.9775255799293519,46.885270833969116
linear,64,3,0.1167309120297432,0.24004052579402924,0.975131380558014,54.33475399017334
linear,128,1,0.10307843089103699,0.22327280044555664,0.9787413477897644,47.674638509750366
linear,128,2,0.09293768107891083,0.21038529574871062,0.9801738023757934,52.50444841384888
linear,128,3,0.07355990111827851,0.18883398473262786,0.9836642265319824,56.103779554367065
